% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (-5.039000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.116756082e+02 +1.116756082e+02 +6.128560820e+01 +6.128560820e+01 -9.9347e-01 -2.4184e+00 -1.2922e+00 +3.4339e+00 +2.9502e+00 +9.7080e-01 -2.6989e+00 -4.3171e+00 -1.9285e+00 -2.4917e+00 +7.9799e-01 -1.1174e+00 +3.1728e+00 +2.3836e+00 -4.8554e+00 -2.2961e+00 -1.7353e+00 -7.2957e-01 +5.8624e-01 -3.7891e+00
4 +6.702517269e+01 +6.702517269e+01 +1.663517269e+01 +1.663517269e+01 -4.4127e+00 +3.5028e-02 +1.8635e-01 -9.1235e-01 +1.6271e-01 +2.6292e+00 +4.8278e-01 +4.4472e+00 +2.5983e+00 -3.2064e+00 +3.1636e+00 -2.8591e+00 +2.9953e+00 +3.1922e+00 -3.6314e+00 -4.0787e+00 -1.6010e+00 +4.8933e+00 +3.2170e+00 +2.2879e+00
28 +5.015887173e+01 +5.015887173e+01 -2.311282720e-01 -2.311282720e-01 +2.3011e+00 -1.5978e+00 -2.5402e+00 -1.8006e+00 -4.6479e+00 -1.9330e+00 -3.2504e+00 -3.2746e+00 +1.1561e-01 -3.2775e+00 -2.5462e+00 +5.4138e-01 +2.5152e+00 +4.2160e+00 +3.2101e-01 +1.9723e+00 +2.2486e+00 +6.9860e-02 -1.9080e+00 +1.2932e+00
51 +3.772095062e+01 +3.772095062e+01 -1.266904938e+01 -1.266904938e+01 -3.5958e+00 -7.0513e-01 +4.9694e+00 +2.5025e+00 -2.1325e+00 -3.0164e-01 -2.4060e-01 +4.0725e+00 -2.6885e+00 +1.9205e+00 -3.9522e+00 -1.7859e+00 -3.5176e+00 -1.8658e+00 +2.1387e+00 +1.2055e+00 -1.1753e+00 -3.2328e-01 -1.7516e+00 +2.8765e+00
% function evaluation | noise-free fitness - Fopt (-7.027000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.035271791e+02 +1.035271791e+02 +3.325717915e+01 +3.325717915e+01 -1.6980e+00 +2.2992e+00 -7.3861e-02 +1.7574e+00 -1.4175e+00 +2.2348e+00 +4.4723e-01 -4.9579e+00 -3.9511e+00 +5.8705e-01 +4.1239e+00 -5.6271e-01 -2.0847e+00 +3.8203e+00 -1.3050e+00 +8.0443e-01 -4.6263e+00 -4.4119e+00 -4.9595e+00 +1.1423e+00
2 +5.193146471e+01 +5.193146471e+01 -1.833853529e+01 -1.833853529e+01 -4.9462e+00 +1.0318e+00 +3.2300e+00 +3.4041e+00 -1.7827e+00 -2.5513e+00 -1.9592e+00 -2.6563e+00 -8.8016e-01 -4.5297e+00 -8.8895e-01 -4.5205e+00 -4.9811e+00 +1.0274e+00 -2.3496e+00 -7.9432e-01 +2.1702e+00 +2.8265e+00 +4.1832e+00 +4.9770e+00
% function evaluation | noise-free fitness - Fopt (-6.944000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.172810034e+01 +9.172810034e+01 +2.228810034e+01 +2.228810034e+01 +1.0562e+00 +9.7381e-01 +2.3377e+00 +4.5401e+00 +2.0552e+00 -3.2116e+00 +4.4938e+00 +4.0354e+00 -2.5896e+00 +7.8547e-01 -3.4800e+00 -3.2854e+00 +3.1249e+00 -2.1946e+00 -1.9093e+00 +3.8830e+00 -4.9783e+00 +3.2713e+00 +4.7245e+00 +1.6085e+00
13 +4.492333543e+01 +4.492333543e+01 -2.451666457e+01 -2.451666457e+01 -3.7059e+00 +1.5149e-01 +3.7082e+00 -3.3090e+00 -4.3040e+00 -2.8808e+00 -1.2943e+00 -2.8879e+00 -2.2378e+00 +4.8568e+00 -2.0002e+00 -1.5086e+00 -2.0748e+00 +2.5209e+00 -1.0365e+00 +1.9860e+00 -2.3804e+00 -2.8715e+00 +4.6215e+00 +1.5216e+00
80 +3.433589346e+01 +3.433589346e+01 -3.510410654e+01 -3.510410654e+01 -2.1991e+00 +1.5353e-02 -3.8675e+00 +4.5791e+00 -3.8885e+00 +3.5903e-01 -1.3365e+00 +2.7737e+00 +2.1147e+00 -4.7002e+00 -8.3540e-01 +2.5730e-01 -5.0172e-01 +4.6160e+00 +4.1317e+00 +1.0218e+00 +1.2117e+00 +2.9878e-01 +2.0610e+00 -4.5713e-01
% function evaluation | noise-free fitness - Fopt (1.261900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.445646076e+01 +7.445646076e+01 +2.006464608e+02 +2.006464608e+02 +1.0322e+00 -2.2303e+00 +1.6136e+00 -3.7603e+00 -5.3994e-01 +2.0954e+00 +6.9857e-01 +3.1766e+00 -2.0383e+00 +2.5462e-01 -3.9661e+00 -1.6844e+00 -3.5342e+00 -1.5966e-01 +5.1435e-01 -9.7186e-01 -1.0629e+00 -3.2099e+00 +1.3765e+00 -3.6575e+00
6 +4.923778533e+01 +4.923778533e+01 +1.754277853e+02 +1.754277853e+02 +1.2996e+00 +4.4356e-01 +5.8362e-01 -4.0818e-01 +1.2783e+00 -2.0377e+00 -3.2182e+00 -5.4636e-01 -2.2618e+00 +5.6985e-01 +3.5878e+00 -6.3111e-01 +2.2522e+00 -2.3262e+00 +1.2961e+00 +4.2352e+00 -1.7582e+00 -2.2816e+00 +3.1296e+00 +4.6058e-01
